,A2 - LOCAL DE ACESSO À INTERNET PELAS CRIANÇAS/ADOLESCENTES,,,,,,,,
Percentual sobre o total de usuários de Internet de 9 a 16 anos (1),,,,,,,,,
REGIÃO,No seu quarto (ou outro quarto da casa),Na sala da casa (ou outro espaço coletivo da casa),Na escola,Na lanhouse ou cybercafé,Numa biblioteca pública, telecentro ou em outro local público,Na casa de amigos,Na casa de parentes,Na rua ou qualquer outro lugar pelo celular
Nordeste,73,79,34,31,14,55,42,46,3
Sudeste,67,83,33,18,14,49,68,56,4
Sul,85,82,57,15,25,75,71,46,2
Centro-Oeste e Norte,78,79,42,25,23,53,57,40,6
