,A2 - LOCAL DE ACESSO À INTERNET PELAS CRIANÇAS/ADOLESCENTES,,,,,,
Percentual sobre o total de usuários de Internet de 9 a 16 anos (1),,,,,,,
REGIÃO,Casa,Casa de outra pessoa,Centro público de acesso gratuito,Centro público de acesso pago,Em deslocamento,Escola,Outro
Nordeste,72,76,8,17,29,26,32
Sudeste,89,82,12,18,40,34,44
Sul,89,78,10,14,30,38,39
Centro-Oeste e Norte,84,81.5,8.5,22,34,33.5,45.5
