State,2005,2008,2011,2013
SP,69,67,40,27
RJ,69,73,44,40
MG,83,88,60,33
PR,85,80,50,27
RS,81,69,49,27
SC,89,80,51,42
BA,100,84,61,35
PE,-,97,58,33
GO,74,67,48,26
CE,-,100,63,33
ES,-,-,65,33
PA,-,-,70,37
MT,-,-,64,33
MS,-,-,76,36
MA,-,-,84,47
PB,-,-,70,39
RN,-,92,74,24
AM,-,-,100,41
PI,-,-,79,43
SE,-,-,84,22
AL,-,-,81,41
RO,-,-,75,39
TO,-,-,91,44
AP,-,-,-,-
AC,-,-,-,-
RR,-,-,-,100
