,A2 - LOCAL DE ACESSO À INTERNET PELAS CRIANÇAS/ADOLESCENTES,,,,,,,
Percentual sobre o total de usuários de Internet de 9 a 16 anos (1),,,,,,,,
REGIÃO,Casa,Casa de outra pessoa,Centro público de acesso gratuito,Centro público de acesso pago,Em deslocamento,Em outros lugares como por exemplo shopping igreja ou lanchonete,Escola,Outro
Nordeste,86,81,2,11,24,28,27,0
Sudeste,95,85,11,16,44,47,36,0
Sul,94,84,24,23,45,52,43,0
Centro-Oeste e Norte,88,73,4.5,12,30.5,37.5,29,0
