 ,A1 - TIPOS DE EQUIPAMENTOS UTILIZADOS PELAS CRIANÇAS/ADOLESCENTES PARA ACESSAR A INTERNET,,,,,
Percentual sobre o total de usuários de Internet de 9 a 16 anos (1),,,,,,
REGIÃO,Computador,Celular,Notebook,Tablet,Videogame,Televisão
Nordeste,27,95,27,18,8,19
Sudeste,37,94,32,22,21,32
Sul,33,92,33,21,19,26
Centro-Oeste e Norte,28.5,90,18.5,13.5,12,18.5
