 ,A1 - TIPOS DE EQUIPAMENTOS UTILIZADOS PELAS CRIANÇAS/ADOLESCENTES PARA ACESSAR A INTERNET,,,,,
Percentual sobre o total de usuários de Internet de 9 a 16 anos (1),,,,,,
REGIÃO,Computador,Celular,Notebook,Tablet,Videogame,Televisão
Nordeste,30,90,25,23,8,10
Sudeste,48,92,36,25,21,23
Sul,46,86,36,22,18,20
Centro-Oeste e Norte,29,91.5,27.5,18.5,10,14.5
