,A2 - LOCAL DE ACESSO À INTERNET PELAS CRIANÇAS/ADOLESCENTES,,,,,,
Percentual sobre o total de usuários de Internet de 9 a 16 anos (1),,,,,,,
REGIÃO,Casa,Casa de outra pessoa,Centro público de acesso gratuito,Centro público de acesso pago,Em deslocamento,Escola,Outro
,92,72,4,8,32,24,38
Nordeste,85,82,4,12,26,27,36
Sudeste,94,86,8,12,44,35,48
Sul,95,82,15,12,37,42,47
,96,83,3,13,33,24,36
Centro-Oeste e Norte,94,77.5,3.5,10.5,32.5,24,37
