 ,"D9 - PROPORÇÃO DE ESCOLAS, POR LOCAL DE INSTALAÇÃO DOS COMPUTADORES",,,,
Percentual sobre o total de escolas que possuem computador(1),,,,,
REGIÃO,Sala do coordenador pedagógico ou do diretor ,Laboratório de informática ,Sala dos professores ou de reunião ,Biblioteca ou sala de estudos ,Sala de aula
Norte ,85,80,47,44,6
Nordeste ,79,67,42,26,7
Sudeste ,92,87,74,50,9
Sul ,93,94,72,54,6
Centro-Oeste ,90,87,68,39,10
