 ,A1 - TIPOS DE EQUIPAMENTOS UTILIZADOS PELAS CRIANÇAS/ADOLESCENTES PARA ACESSAR A INTERNET,,,,,
Percentual sobre o total de usuários de Internet de 9 a 16 anos (1),,,,,,
REGIÃO,Computador,Celular,Notebook,Tablet,Videogame,Televisão
Nordeste,18,96,18,11,9,27
Sudeste,35,94,30,17,21,40
Sul,20,94,25,13,15,31
Centro-Oeste e Norte,23,87,21,15.5,12.5,20.5
