 ,B2 - PROPORÇÃO DE CRIANÇAS E ADOLESCENTES, POR FREQUÊNCIA DE USO DA INTERNET PARA ATIVIDADES REALIZADAS,,,,,,
Percentual sobre o total de usuários de Internet de 11 a 17 anos que realizaram cada atividade(1),,,,,,,,
REGIÃO,Trabalho escolar,"Assistir vídeos, programas, filmes ou séries",Ouvir músicas,Redes sociais,Mensagens instantâneas,Jogar em grupo,Pesquisar,Jogar sozinho
Nordeste ,18,33,23,55,57,37,32,45
Sudeste ,23,48,20,75,81,48,54,47
Sul ,11,19,19,38,62,41,23,77
Centro-Oeste e Norte,16,36,27,58,68,42,37,25
