 ,A1 - TIPOS DE EQUIPAMENTOS UTILIZADOS PELAS CRIANÇAS/ADOLESCENTES PARA ACESSAR A INTERNET,,,,,
Percentual sobre o total de usuários de Internet de 9 a 16 anos (1),,,,,,
REGIÃO,Computador,Celular,Notebook,Tablet,Videogame,Televisão
Nordeste,69,50,28,18,9,1
Sudeste,79,58,41,20,13,5
Sul,49,25,59,2,6,1
Centro-Oeste e Norte,69,66,43,15,9,2
