 ,A1 - TIPOS DE EQUIPAMENTOS UTILIZADOS PELAS CRIANÇAS/ADOLESCENTES PARA ACESSAR A INTERNET,,,,,
Percentual sobre o total de usuários de Internet de 9 a 16 anos (1),,,,,,
REGIÃO,Computador,Celular,Notebook,Videogame,Tablet,Televisão
Nordeste,51,13,7,3,1,1
Sudeste,64,20,11,4,2,1
Sul,49,36,9,4,2,0
Centro-Oeste e Norte,49,36,9,4,2,0
