 ,B2 - PROPORÇÃO DE CRIANÇAS E ADOLESCENTES, POR FREQUÊNCIA DE USO DA INTERNET PARA ATIVIDADES REALIZADAS,,,,,,
Percentual sobre o total de usuários de Internet de 11 a 17 anos que realizaram cada atividade(1),,,,,,,,
REGIÃO,Trabalho escolar,"Assistir vídeos, programas, filmes ou séries",Ouvir músicas,Redes sociais,Mensagens instantâneas,Jogar em grupo,Pesquisar,Jogar sozinho
Nordeste,18,42,51,41,52,27,18,18
Sudeste,16,53,56,51,63,33,22,24
Sul,16,49,46,49,63,33,23,26
Centro-Oeste e Norte,16,34,48.5,41.5,54.5,27.5,18.5,19.5
