 ,B2 - PROPORÇÃO DE CRIANÇAS E ADOLESCENTES, POR FREQUÊNCIA DE USO DA INTERNET PARA ATIVIDADES REALIZADAS,,,,,,
Percentual sobre o total de usuários de Internet de 11 a 17 anos que realizaram cada atividade(1),,,,,,,,
REGIÃO,Trabalho escolar,"Assistir vídeos, programas, filmes ou séries",Ouvir músicas,Redes sociais,Mensagens instantâneas,Jogar em grupo,Pesquisar,Jogar sozinho
Nordeste,13,19,22,42,49,8,19,9
Sudeste,13,30,32,51,57,18,25,11
Sul,12,19,31,46,49,13,22,12
Centro-Oeste e Norte,16.5,17.5,22,35,46,9,16.5,11
